GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-management-api,com.usermanagement.api.dto,AuthenticationResponse,183,31,38,0,2,6,28,6,9,6
user-management-api,com.usermanagement.api.dto,AuthenticationResponse.AuthenticationResponseBuilder,10,35,0,0,0,1,1,6,1,6
user-management-api,com.usermanagement.api.dto,UserRegistrationRequest,164,46,38,0,0,7,23,10,4,10
user-management-api,com.usermanagement.api.dto,AuthenticationRequest,98,26,22,0,0,5,15,6,4,6
user-management-api,com.usermanagement.api.models,User,334,116,76,2,3,18,46,22,7,22
user-management-api,com.usermanagement.api.models,User.UserBuilder,46,67,1,3,0,1,6,8,5,7
user-management-api,com.usermanagement.api.security,CustomUserDetailsService,0,34,0,0,0,7,0,3,0,3
user-management-api,com.usermanagement.api.security,JwtAuthenticationFilter,52,20,9,1,11,5,5,2,0,2
user-management-api,com.usermanagement.api.services,UserService,0,113,2,4,0,18,2,9,0,8
user-management-api,com.usermanagement.api.services,AuthenticationService,6,87,0,2,0,17,1,6,1,5
user-management-api,com.usermanagement.api.services,JwtService,11,111,4,2,1,27,3,11,0,11
user-management-api,com.usermanagement.api.models.enums,Role,0,15,0,0,0,3,0,1,0,1
user-management-api,com.usermanagement.api.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
user-management-api,com.usermanagement.api.exceptions,EmailAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
user-management-api,com.usermanagement.api.exceptions,GlobalExceptionHandler,33,69,0,0,6,13,1,3,1,3
user-management-api,com.usermanagement.api.controllers,AuthController,0,69,0,0,0,22,0,3,0,3
user-management-api,com.usermanagement.api.controllers,UserController,40,6,0,0,9,1,3,1,3,1
user-management-api,com.usermanagement.api.config,SecurityConfig,0,81,0,0,0,17,0,8,0,8
user-management-api,com.usermanagement.api.config,OpenApiConfig,0,56,0,0,0,20,0,2,0,2
user-management-api,com.usermanagement.api,UserManagementApplication,5,3,0,0,2,1,1,1,1,1
